long,lat
-77.2576563,38.99554341
-77.20553397,38.7643166
-77.33149298,38.9990459
-77.11834068,38.73860634
-77.08965069,38.77121832
-77.23257156,38.82227917
-77.30942005,38.84505202
-77.48897673,38.81103863
-77.13357216,38.85961308
-77.23150461,38.88268005
-77.21003432,38.90441419
-77.23872283,38.87177379
-77.14612613,38.7526612
-77.21141534,38.82754084
-77.34961379,38.96627395
-77.1007599,38.74114392
-77.13357216,38.85961308
-77.40049118,38.85967015
-77.21961004,38.76172508
-77.23438763,38.91840895
-77.31279462,38.85332417
-77.10129405,38.71368877
-77.55101818,38.8966798
-77.3882555,38.96939152
-77.08328609,38.73818786
-77.23409685,38.93488162
-77.33981918,38.91949721
-77.27454678,38.83096308
-77.23409685,38.93488162
-77.21723043,38.69853876
-77.34505806,38.8124562
-77.35194303,39.04043496
-77.28909641,38.80090789
-77.36385487,38.95542885
-77.08301554,38.75191534
-77.30326811,38.79281524
-77.17947322,38.84640812
-77.16447325,38.7089337
-77.39096513,39.02158831
-77.07184266,38.78473346
-77.17087255,38.74195994
-77.48145218,38.84667079
-77.37937915,38.8622165
-77.20202719,38.76427783
-77.10798373,38.73024535
-77.10798373,38.73024535
-77.37014086,38.77974841
-77.2113168,38.83303185
-77.37950774,38.85397985
-77.43238102,38.84074285
-77.14421009,38.8542443
-77.24560296,38.88008548
-77.14911633,38.78015678
-77.31764624,38.98517813
-77.41705469,38.92572618
-77.39931226,38.93654494
-77.17891744,38.87660825
-77.20918869,38.75611863
-77.17891744,38.87660825
-77.27206966,38.7705244
-77.34448382,38.8481484
-77.40291159,38.9310868
-77.17041556,38.76666972
-77.09687922,38.76032051
-77.1812187,38.94253813
-77.20172962,38.78075103
-77.28503055,38.83381809
-77.07184266,38.78473346
-77.17102481,38.73372332
-77.21654463,38.73697675
-77.2239912,38.91005858
-77.13880183,38.76905308
-77.22047729,38.91002036
-77.08560326,38.79863083
-77.40036499,38.86790681
-77.21180938,38.80557677
-77.45631686,38.88489296
-77.22003632,38.93472934
-77.44973336,38.8546291
-77.27815029,38.82550862
-77.18053295,38.78875271
-77.0727698,38.73806027
-77.2275955,38.70689014
-77.14090689,38.84322186
-77.13623268,38.71959294
-77.24795043,38.7455547
-77.34448382,38.8481484
-77.14932277,38.76917474
-77.30070143,38.94656383
-77.22008533,38.9319839
-77.38409732,39.01054003
-77.27782319,38.84472729
-77.44258941,38.86280277
-77.17770322,38.94249863
-77.18429231,38.77506452
-77.16904271,38.84079821
-77.43609508,38.82704681
-77.18674591,38.83275948
-77.28128733,38.84750931
-77.26700803,38.86109021
-77.27973659,38.73215956
-77.31379279,38.79292214
-77.44610112,38.86283435
-77.25193298,38.71813632
-77.07638396,38.73261191
-77.097415,38.73286549
-77.41792473,38.86806994
-77.23155315,38.87993458
-77.15649074,38.76101878
-77.21676689,38.92096382
-77.34448382,38.8481484
-77.20246075,38.93453662
-77.31684886,38.82041315
-77.30279578,39.0317078
-77.42271432,38.78298912
-77.22145612,38.85511097
-77.41474493,38.84607303
-77.17199456,38.87103811
-77.25922631,38.70173722
-77.40265948,38.9475598
-77.4460608,38.86557992
-77.23680562,38.78113408
-77.37235586,38.86214926
-77.34675976,38.92505738
-77.06833496,38.7846907
-77.46362007,38.86573621
-77.09450017,38.7026228
-77.06920974,38.74076302
-77.32923106,38.92213813
-77.26990786,38.89681844
-77.36033866,38.95539482
-77.18764918,38.78334039
-77.35677866,38.95810615
-77.15928032,38.79949605
-77.42193161,38.83515543
-77.18177402,38.91233849
-77.16197056,38.84346386
-77.2238935,38.91554948
-77.20899144,38.7671008
-77.25922554,38.90494402
-77.33171686,38.98531873
-77.07983489,38.73539993
-77.07211547,38.7710061
-77.36033866,38.95539482
-77.11154182,38.72754142
-77.34443962,38.85089394
-77.46042637,38.84374053
-77.06225354,38.73793174
-77.20548452,38.76706214
-77.42056947,38.92575852
-77.07983489,38.73539993
-77.0966648,38.77130248
-77.44993419,38.8409012
-77.08706132,38.72450265
-77.07249724,38.75178773
-77.4460608,38.86557992
-77.18789987,38.76961277
-77.360295,38.95814029
-77.23790196,38.91844675
-77.36476802,38.89777346
-77.08652165,38.75195767
-77.07983489,38.73539993
-77.44630266,38.84910648
-77.13215368,38.74975287
-77.45336478,38.84642372
-77.1479798,38.84055748
-77.11509963,38.72483737
-77.11633279,38.84293475
-77.34887529,38.79327168
-77.33741746,38.85082461
