long,lat
-73.9568473,40.6737606
-73.889922,40.745244
-73.771184,40.67698
-73.9269,40.705797
-73.8834151,40.6604648
-73.827349,40.760525
-73.8950226,40.8545873
-73.909699,40.665626
-73.948928,40.806922
-73.747744,40.69569
-73.802017,40.693693
-73.752848,40.598614
-73.827448,40.690936
-73.9904124,40.6052106
-73.866119,40.845223
-73.910047,40.817976
-73.8925369,40.7747135
-73.8833908,40.7558146
-73.7529498,40.6085628
-73.910811,40.6973712
-74.004268,40.752636
-73.9653146,40.7985393
-74.1652524,40.631829
-73.7297089,40.6574424
-73.98465335,40.76048397
-73.8825886,40.6775037
-73.997354,40.5745117
-73.7997214,40.6933204
-73.9216124,40.6561586
-73.9451118,40.747503
-73.913583,40.677672
-73.8712851,40.748963
-73.9427163,40.7110007
-73.924373,40.867789
-73.957209,40.663517
-73.776549,40.595621
-73.9513502,40.7717776
-73.95816,40.6744741
-73.9158883,40.6586796
-73.7342235,40.6556514
-73.9397225,40.8127242
-73.8346021,40.6616577
-73.980272,40.750436
-74.0041506,40.6510387
-73.9586552,40.6603282
-73.984834,40.724271
-73.9131601,40.6854327
-74.0871982,40.6360383
-73.9059676,40.6797458
-73.9442885,40.7627791
-73.9060801,40.6663987
-73.9568997,40.6655862
-73.9343307,40.6716638
-73.9393156,40.8109739
-73.81897,40.609543
-73.9282905,40.6731248
-73.937279,40.825552
-73.9272308,40.6496471
-73.8795655,40.65818
-73.90555501,40.66852589
-74.002304,40.601861
-73.937982,40.632245
-73.9635287,40.6526267
-73.945429,40.824603
-73.7475788,40.704856
-73.8960924,40.6520829
-73.934538,40.6880613
-73.9362375,40.5942995
-74.01097655,40.67667677
-73.9485432,40.6411705
-73.9919344,40.6792764
-73.9669382,40.6834917
-73.8988174,40.7511892
-73.8968566,40.8453378
-73.9783669,40.728677
-74.1258774,40.6056833
-73.958386,40.6504167
-73.939949,40.812614
-73.7838735,40.696781
-73.7909977,40.6962361
-73.9541164,40.8163349
-73.944789,40.809404
-73.8553323,40.7378351
-73.9204395,40.6497068
-73.9373,40.799071
-73.9356238,40.6708264
-73.80171,40.669076
-73.913672,40.6915498
-73.935647,40.8315127
-73.94441,40.794798
-73.8131665,40.5884214
-73.9423376,40.8170412
-73.9881752,40.683415
-73.933644,40.671629
-73.954634,40.594401
-73.9201648,40.6914289
-73.7704838,40.5945467
-73.7501568,40.7073194
-73.937341,40.694485
-73.9879316,40.7190922
-73.9784932,40.6586801
-73.7542262,40.6053329
-73.9483339,40.7981094
-73.7536207,40.6042748
-73.9395141,40.6746882
-73.9510012,40.8003388
-74.1086275,40.5793473
-74.002621,40.614597
-73.9732087,40.7902649
-73.9532089,40.6985298
-73.9123612,40.6346861
-73.9218068,40.6718662
-73.852855,40.6565434
-73.9665347,40.6265856
-73.997207,40.744136
-73.9842234,40.7145507
-73.9215075,40.666044
-73.92455578,40.6847219
-73.9378523,40.6701101
-73.994206,40.5750408
-73.9269588,40.6873673
-73.948241,40.829644
-73.9166191,40.7021976
-74.002523,40.740443
-74.117204,40.6345625
-73.961216,40.811883
-73.9088975,40.6700911
-73.9240363,40.6817546
-73.9439339,40.6982018
-73.7881549,40.689825
-73.8693425,40.6633693
-73.7510879,40.7030587
-74.0831616,40.6376527
-73.7887239,40.7109005
-73.9872521,40.5989436
-73.9737909,40.6860439
-74.0904889,40.6039224
-73.8838698,40.6723198
-73.9745339,40.7245963
-73.7960533,40.6870647
-73.9650871,40.7542424
-73.9389904,40.7953352
-73.9203849,40.6653921
-73.9994569,40.5742027
-73.8952828,40.6759253
-73.929321,40.8593
-73.7885642,40.6890598
-73.9900033,40.7219756
-73.83406,40.698687
-73.9445051,40.8280661
-73.957073,40.641954
-73.947458,40.81032
-73.939957,40.8186857
-73.963972,40.649089
-73.9467585,40.6516937
-73.9380303,40.5954254
-73.885661,40.676001
-73.9268446,40.6889468
-73.956487,40.6432775
-73.942503,40.837147
-74.0880463,40.6456904
-73.7490453,40.5970842
-73.878844,40.756188
-73.753785,40.689163
-73.9177644,40.6858269
-73.7968345,40.695131
-73.9110012,40.6592387
-73.9596301,40.5779012
-73.9347282,40.6094291
-73.9428724,40.651632
-73.9278655,40.6713092
-74.0872173,40.613432
-73.9434145,40.6960632
-73.950577,40.660132
-73.960748,40.709409
-73.942599,40.660605
-73.79261,40.673625
-73.9903928,40.7484159
-73.765369,40.681586
-73.9052896,40.656567
-73.947652,40.834417
-74.2457324,40.5155248
-73.974125,40.657454
-73.9411784,40.5967292
-73.9196761,40.7085399
-73.9077311,40.6773443
-73.905397,40.667838
-73.93605709,40.79701985
-73.761008,40.67852
-73.8086644,40.7124586
-73.9805438,40.6071869
-73.9303919,40.66129
-73.9860578,40.6395737
-73.7560114,40.6021484
-73.9158362,40.6797142
-73.9358653,40.8311841
-73.959598,40.6913033
-73.813564,40.6753828
-73.946199,40.827163
-73.950883,40.686932
-73.9842,40.6834741
-73.9453294,40.6384423
-73.8464341,40.794306
-73.984592,40.679619
-73.9590376,40.6649336
-73.8664844,40.6913505
-73.9341999,40.6716571
-73.9436725,40.6821405
-74.000693,40.740138
-73.945349,40.690567
-73.9357352,40.6708321
-73.9370417,40.7544593
-73.9528529,40.6654965
-73.8113874,40.7379965
-73.8067148,40.7607773
-73.937767,40.819987
-73.9403652,40.6986348
-73.904696,40.6583895
-73.901736,40.739182
-73.8909178,40.6739271
-73.7299732,40.6874781
-73.8249744,40.6667642
-73.9133171,40.6389302
-74.0156555,40.6399757
-73.92982,40.686725
-73.98821,40.73595
-73.7416189,40.5959815
-73.913668,40.6884971
-73.939011,40.83754
-73.9706208,40.7900004
-73.9876743,40.7737131
-73.9374068,40.6231257
-73.9617926,40.6477254
-73.9082103,40.757163
-73.9580453,40.6846254
-73.9002194,40.6384567
-73.9513245,40.6400341
-73.956428,40.801261
-73.8839227,40.6343803
-74.1573762,40.5882393
-73.9377136,40.6637821
-73.8078464,40.7328133
-73.940208,40.70985
-73.9972879,40.7133774
-73.9480759,40.6970124
-73.90685,40.6644674
-73.7815702,40.701864
-73.96287918,40.57491228
-73.9480779,40.6706333
-73.7660094,40.7022349
-73.802966,40.69383
-73.79992,40.702448
-73.9129057,40.6792964
-73.9412193,40.7867629
-74.0811816,40.6163996
-73.9618982,40.654027
-73.896881,40.67174
-73.953416,40.588067
-73.929599,40.85249
-74.0016895,40.6736621
-73.821966,40.6817485
-73.8641876,40.7423462
-73.9525341,40.6515377
-73.9734416,40.6912111
-74.0849773,40.6367162
-73.93906116,40.69854028
-73.9311963,40.7690862
-73.9447348,40.6419346
-73.9508258,40.662509
-73.915475,40.661571
-73.9576537,40.6557988
-73.7636643,40.5948512
-73.9412496,40.6795245
-73.930184,40.688561
-73.9561443,40.6677193
-73.7508645,40.6928516
-74.1430463,40.6369562
-73.9322881,40.6255714
-73.950972,40.663901
-73.895786,40.667145
-73.881202,40.676211
-73.866955,40.667038
-73.939289,40.821533
-73.912982,40.682385
-73.938116,40.595241
-73.906813,40.669991
-73.940322,40.7169
-73.894394,40.645988
-73.928989,40.773388
-73.778366,40.740549
